id	premise	hypothesis	label	explanation	split	type	idiom
6194	I was trying to plan my wedding by getting a caterer, and they kept blowing us off over and over again.	I was trying to get wedding planning done by reserving a caterer, but they kept blowing us off and making me feel like a total genius	Contradiction	When trying to get wedding planning done, making a reservation with a caterer and then having them not show up or be responsive is very frustrating and cannot make someone feel like a genius.	train	Sarcasm	
6195	The crocodile has yellow pointed teeth.	The crocodile's teeth are yellow daggers.	Entailment	Daggers are a type of weapon that is pointy and can be used to stab someone.	train	Metaphor	
6196	God, the thing was thin.	God, the thing was like a credit card.	Entailment	A credit card is a very thin piece of plastic, so the simile is emphasizing the thinness of the object.	train	Simile	
6197	I sometimes like my kids better when they take a nap.	I feel like a terrible mom when I have to say that I sometimes like my kids better when they take a nap	Entailment	Mothers are expected to always love their children and so when they have thoughts like sometimes liking their kids better when they take a nap, they often feel guilty and like terrible mothers	train	CreativeParaphrase	
6198	I just was not very good as an accountant.	I just was not much cop as an accountant.	Entailment	To not be much cop means to not be very good, which is what the speaker was as an accountant.	train	Idiom	not much cop
6199	I was looking forward to a picnic on Sunday but I'm gutted it will be raining.	I was looking forward to a fun day outside but loved how forecast of rain completely elevated my picnic plans	Contradiction	The forecast of rain is never something that people look forward to because it means that their outdoor plans will be ruined.	train	Sarcasm	
6200	I fed my dog a new dog food and he puked ALL over my house!	I gave my dog a new dog food and he projectile vomited all over my house!	Entailment	When a dog pukes after eating it is often because they are not used to the food and their stomach can't handle it	train	CreativeParaphrase	
6201	The branch was very sharp.	The branch was sharp like a rubber eraser	Contradiction	An eraser is not a sharp object, so saying something is sharp like an eraser means it is not sharp	train	Simile	
6202	We're going to be the people who everyone mocks and laughs at because we made a huge mistake.	Were going to be the laughing stocks of the whole country.	Entailment	A laughing stock is a person who is the subject of mockery after a blunder, and this context describes being mocked by the whole country.	train	Idiom	laughing stock
6203	I was startled the other day by a snake.	I enjoyed a real peaceful experience the other day when I saw a snake slither in my backyard.	Contradiction	Snakes are often feared by people and considered to be dangerous, so seeing one in person would not be a peaceful experience for most.	train	Sarcasm	
6204	My sister gets to stay out as late as she wants but I have to be in at 8 PM	I love that my sister gets to stay out as late as she wants while I have to be in at 8 PM	Contradiction	It is usually not fair when siblings have different rules to follow and one gets more privileges than the other.	train	Sarcasm	
